48;2020-11-25;Nissan GT-R I Рестайлинг 2;nissan;gt_r;3.8 л / 540 л.с. / Бензин;робот;полный;красный;2013;15 640 км;6 700 000 ₽
49;2020-11-25;Infiniti Q50 I;infiniti;q50;2.0 л / 211 л.с. / Бензин;автомат;задний;белый;2017;65 233 км;1 465 000 ₽
50;2020-11-25;Renault Duster I Рестайлинг;renault;duster;2.0 л / 143 л.с. / Бензин;механика;полный;коричневый;2015;82 115 км;699 000 ₽
51;2020-11-25;Bentley Continental Flying Spur;bentley;continental_flying_spur;6.0 л / 560 л.с. / Бензин;автомат;полный;пурпурный;2007;187 900 км;1 300 000 ₽
52;2020-11-25;Audi A7 I (4G) Рестайлинг;audi;a7;3.0 л / 333 л.с. / Бензин;робот;полный;чёрный;2014;63 776 км;2 075 000 ₽
53;2020-11-25;Audi A8  IV (D5) 55 TFSI;audi;a8;3.0 л / 340 л.с. / Бензин;автомат;полный;чёрный;2018;60 785 км;4 899 000 ₽
54;2020-11-25;Volkswagen Touareg II;volkswagen;touareg;3.6 л / 249 л.с. / Бензин;автомат;полный;серебристый;2013;120 000 км;1 500 000 ₽
55;2020-11-25;Bentley Mulsanne II Рестайлинг;bentley;mulsanne;6.8 л / 512 л.с. / Бензин;автомат;задний;чёрный;2017;15 115 км;16 995 000 ₽
56;2020-11-25;Audi A6 IV (C7);audi;a6;3.0 л / 245 л.с. / Дизель;робот;полный;чёрный;2011;169 723 км;975 000 ₽
57;2020-11-25;Toyota Land Cruiser Prado 150 Series;toyota;land_cruiser_prado;3.0 л / 173 л.с. / Дизель;автомат;полный;серый;2012;160 000 км;1 790 000 ₽
58;2020-11-25;Volkswagen Multivan T5;volkswagen;multivan;2.5 л / 131 л.с. / Дизель;автомат;передний;чёрный;2007;160 505 км;987 000 ₽
59;2020-11-25;Volvo XC60 I;volvo;xc60;2.4 л / 185 л.с. / Дизель;автомат;полный;чёрный;2012;97 000 км;1 126 000 ₽
60;2020-11-25;Toyota FJ Cruiser;toyota;fj_cruiser;4.0 л / 260 л.с. / Бензин;автомат;полный;белый;2009;120 000 км;1 950 000 ₽
